"1","The Beatles"
"2","The Rolling Stones"
"3","Led Zeppelin"
"4","The Doors"
"5","Pink Floyd"
"6","The Beach Boys"
"7","The Who"
"8","Simon & Garfunkel"
"9","U2"
"10","Cream"
"11","The Velvet Underground"
"12","The Kinks"
"13","Nirvana"
"14","The Band"
"15","Crosby Stills Nash & Young"
"16","The Police"
"17","Deep Purple"
"18","The Clash"
"19","Sly and the Family Stone"
"20","AC/DC"
"21","Creedence Clearwater Revival"
"22","Eagles"
"23","The Temptations"
"24","The Byrds"
"25","Fleetwood Mac"
"26","The Bee Gees"
"27","Black Sabbath"
"28","ABBA"
"29","Genesis"
"30","Funkadelic"
"31","Lynyrd Skynyrd"
"32","The Jam"
"33","Grateful Dead"
"34","Jethro Tull"
"35","The Drifters"
"36","The Stooges"
"37","Pearl Jam"
"38","King Crimson"
"39","Chicago"
"40","The Everly Brothers"
"41","The Mamas and the Papas"
"42","Electric Light Orchestra"
"43","Smokey Robinson & The Miracles"
"44","The Animals"
"45","Guns N' Roses"
"46","Ramones"
"47","The Platters"
"48","R.E.M."
"49","Jefferson Airplane"
"50","Radiohead"
"51","Buffalo Springfield"
"52","John Mayall & The Bluesbreakers"
"53","Roxy Music"
"54","Dire Straits"
"55","The Flying Burrito Brothers"
"56","The Supremes"
"57","Yes"
"58","Van Halen"
"59","Blondie"
"60","Depeche Mode"
"61","Jackson 5"
"62","The Cure"
"63","Blood Sweat & Tears"
"64","Talking Heads"
"65","MC5"
"66","Nine Inch Nails"
"67","The Yardbirds"
"68","Coldplay"
"69","The Smiths"
"70","Parliament"
"71","T. Rex"
"72","Peter Paul & Mary"
"73","Steely Dan"
"74","Beastie Boys"
"75","Supertramp"
"76","Red Hot Chili Peppers"
"77","The Allman Brothers Band"
"78","Bon Jovi"
"79","Earth Wind & Fire"
"80","Sonic Youth"
"81","Joy Division"
"82","The Coasters"
"83","Aerosmith"
"84","Booker T. & the M.G.s"
"85","The Shirelles"
"86","The Sex Pistols"
"87","Metallica"
"88","The Impressions"
"89","Public Enemy"
"90","Steve Miller Band"
"91","Smashing Pumpkins"
"92","The Cars"
"93","Mötley Crüe"
"94","Thin Lizzy"
"95","Emerson Lake and Palmer"
"96","Soundgarden"
"97","Blue Öyster Cult"
"98","Pentangle"
"99","Small Faces"
"100","Fairport Convention"